ds,yhat,yhat_lower,yhat_upper
2015-05-01,3757.964752162475,-2985.5604985560103,10636.465969987888
2015-05-04,4144.628543582994,-2323.2683017708428,11001.10094192751
2015-05-05,3062.967282363021,-3938.570505060299,9551.400502080029
2015-05-06,3698.9203162828667,-3148.9412197669,10470.778222526578
2015-05-07,3965.5808045297154,-2823.2517718786853,10742.991703112335
2015-05-08,5233.464881602709,-1727.1888302248926,12049.701869626599
2015-05-09,9316.283672258076,2567.075396831253,16297.186224545938
2015-05-10,9073.619858802742,2508.0787949100145,15540.067594675882
2015-05-11,5884.648941228761,-888.6358179055163,12363.78835432534
2015-05-12,4853.116059876191,-1675.3013577553086,11675.018033053371
2015-05-13,5518.043737915009,-874.6828137353039,12314.772916839553
2015-05-14,5792.001266417345,-1234.0891448458933,11844.462244352535
2015-05-15,7045.511571299025,266.9946580253081,13798.699630093304
2015-05-16,11092.824748977222,4631.773336251074,17565.223979297483
2015-05-17,10794.582440256774,4086.6584351475076,17725.688130191375
2015-05-18,7531.513510909434,960.8807135079463,14486.34341336592
2015-05-19,6409.372593533477,-400.0683776887031,12916.143881909878
2015-05-20,6969.597868670905,434.2254233165909,13306.548474588553
2015-05-21,7127.520137676825,-55.304713891113536,14444.522625648611
2015-05-22,8256.700626429145,1406.3288150787505,14829.482483486041
2015-05-23,12174.628533819247,5406.836926251389,19050.428569608215
2015-05-24,11745.304497473879,5044.574492893392,18189.638747582303
2015-05-25,8352.852570067756,1976.178849526212,15120.2689196237
2015-05-26,7106.37444867453,386.8250657698232,13419.666873029417
2015-05-27,7550.52452760013,1298.8444967937228,14433.033122738905
2015-05-28,7603.6399644274725,1093.8006594042315,14457.404016043081
2015-05-29,8642.005223493816,1675.6008333115342,15105.922406619315
2015-05-30,12485.483969810542,6326.700434175428,19450.311673018474
2015-05-31,12000.046130179573,4930.824993030812,19001.514384590213
2015-06-01,8571.33410150731,1888.1169955352698,15999.657273569297
2015-06-02,7309.482942687824,-32.33307373865611,14353.129597945732
2015-06-03,7759.673894823062,819.3626224450755,14055.982965924715
2015-06-04,7840.255855823496,1189.802054128115,15077.686022388236
2015-06-05,8927.014363977256,2429.6563906904485,16040.680301148399
2015-06-06,12838.820708385796,5784.468970834754,19613.168849622074
2015-06-07,12440.188393197108,5427.56492690142,18660.90380486628
2015-06-08,9114.88003048021,2798.079706049504,15711.650530032026
2015-06-09,7970.778305829695,980.621903822967,14663.537537465238
2015-06-10,8550.498917237544,1693.4101495024438,15153.436875059497
2015-06-11,8769.578459778997,1561.487149859828,15682.753048056544
2015-06-12,10000.814994668455,3400.159951242495,16908.708093184232
2015-06-13,14059.991993803356,7841.961682086372,20636.549173273474
2015-06-14,13808.510902579514,6727.400479952392,20476.700754732563
2015-06-15,10627.073408955526,3858.9830396453194,17013.86525919959
2015-06-16,9620.625127386807,3249.4078808949594,16305.838526981743
2015-06-17,10329.03676538421,3596.9574417090985,16270.383121339306
2015-06-18,10665.354063929592,4134.370614724819,17244.63802100843
2015-06-19,12000.192763237903,5394.762844446932,18743.421917235402
2015-06-20,16147.508029711265,9867.382351652013,23030.887162465577
2015-06-21,15967.262593474894,9239.492151261815,22378.355267350093
2015-06-22,12839.133975414807,6210.112683701336,19929.51292929016
2015-06-23,11867.472101750285,5544.864352307922,18821.010549694427
2015-06-24,12591.983267450581,5831.33779877248,19171.506752472054
2015-06-25,12925.971934195568,6120.900160012352,20196.877014430775
2015-06-26,14240.717098361125,7214.530704935289,20736.77606208143
2015-06-27,18351.213419121133,11613.093824575888,25079.39840080299
2015-06-28,18118.802353770592,11580.318566695145,25259.037167825263
2015-06-29,14924.834887327797,7966.603265045312,21630.912791285424
2015-06-30,13875.578534837718,7308.8079565342605,21222.614998629884
2015-07-01,14512.84608763764,7653.74274510078,21159.98552213163
2015-07-02,14752.179183548193,7994.381140236821,21060.748157321097
2015-07-03,15967.16506841184,8987.37408587833,22561.10812975966
2015-07-04,19975.118361453013,13272.033894648117,26198.619667244035
2015-07-05,19639.654639237902,13184.905131287633,26651.605482478455
2015-07-06,16344.298894691123,9740.720264208821,22737.8994616109
2015-07-07,15197.342882183573,8504.4212278457,21882.21687845516
2015-07-08,15742.429980647652,9433.821460510202,22290.306220155442
2015-07-09,15896.701615594204,9157.92448725765,22592.37443621508
2015-07-10,17035.084346164705,10240.140039170692,23776.550750297058
2015-07-11,20975.94993153163,13850.452009920862,28299.294376001017
2015-07-12,20583.67544860204,13605.378107252465,26898.98812227091
2015-07-13,17242.24653035055,10904.701627214255,23908.196210644826
2015-07-14,16060.1175108335,9432.807457093204,22998.169213506866
2015-07-15,16580.806661159124,9720.334020595965,23093.67417220985
2015-07-16,16721.05990664796,9628.77301980143,23410.357601318494
2015-07-17,17855.161304412097,10798.297785767269,24305.86146914811
2015-07-18,21800.621623298335,15065.617403971733,29207.914844011662
2015-07-19,21420.77101471859,14083.177144717385,27999.953223338875
2015-07-20,18098.39768693201,11579.847735966643,24719.631913105128
2015-07-21,16940.645176260026,10709.333014160704,24336.925871957446
2015-07-22,17489.64521098649,10769.954290183614,24210.56664276007
2015-07-23,17660.718409868816,11194.642481296267,24815.40836430726
2015-07-24,18826.720022822774,11924.895070226286,25697.19666605602
2015-07-25,22803.761091749242,15698.052842671124,29181.705659520165
2015-07-26,22453.83019196982,15761.88472062111,28571.263202261987
2015-07-27,19158.456996690882,12798.42427355289,26284.05644974114
2015-07-28,18023.629763343786,10999.639619847716,25048.715652097588
2015-07-29,18590.443428011276,12097.49911869286,25117.347471136374
2015-07-30,18773.310430839967,11991.720769852129,25404.538448242194
2015-07-31,19944.3115483191,13360.952951246754,26765.608478091202
2015-08-01,23918.917358180865,17123.244284826986,30746.10800460485
2015-08-02,23558.605909884947,17080.184117476405,30445.667018073156
2015-08-03,20244.51840100619,13733.95950653092,27361.482107659485
2015-08-04,19082.365636628656,12327.947670802003,25954.36625215221
2015-08-05,19613.062729313933,12838.783721783655,26760.394480840096
2015-08-06,19750.92499531248,13070.506600032866,26733.765022218704
2015-08-07,20868.00318494426,14196.93231127806,27455.28542626649
2015-08-08,24779.78953083066,17173.80677275284,31468.01551010271
2015-08-09,24347.821008111434,17630.918711239123,31488.39447404013
2015-08-10,20953.322360250782,14270.537375808111,28114.035917369638
2015-08-11,19702.102324548665,13340.355414878506,26529.034070624646
2015-08-12,20135.18105117647,13620.767531415055,27254.57218089799
2015-08-13,20166.982065842865,13068.709765150292,27104.70114939915
2015-08-14,21169.667152532562,14972.67208242372,28089.1808863508
2015-08-15,24958.845711995833,18198.034981089673,31714.3563833773
2015-08-16,24396.184892827732,17848.713938620935,31280.2462643249
2015-08-17,20863.06278418326,14070.50315191961,27830.354075620886
2015-08-18,19465.47768140044,12911.619874246646,25960.38215994467
2015-08-19,19744.69085110069,13010.452065094776,26335.6671479288
2015-08-20,19615.43545446367,13162.559415557103,25827.9903316726
2015-08-21,20450.26921307158,13706.700354146891,27217.66285914394
2015-08-22,24065.301509318917,17451.796227478553,30814.308868606557
2015-08-23,23322.820313264063,16503.675091898625,29313.482488419617
2015-08-24,19604.960312446918,13252.059674655033,26490.44120204938
2015-08-25,18018.62436916693,11472.901812186226,24914.078919268137
2015-08-26,18106.134904759914,10768.015675663664,25279.899108378573
2015-08-27,17783.447134199516,11064.074764462504,24298.257482993933
2015-08-28,18424.50112147243,11008.252458455414,24784.677888042523
2015-08-29,21846.942881217183,14928.670998477648,28170.599337110707
2015-08-30,20914.73962124119,13815.384161294225,27234.25758781882
2015-08-31,17011.83039058245,10222.183254993884,24148.33244243581
2015-09-01,15247.024342261626,8427.059000503323,22706.47549762129
2015-09-02,15164.62349486686,7664.929564440972,21997.72744229871
2015-09-03,14682.602399800624,7792.656527599439,21296.379077175003
2015-09-04,15176.922357089352,8244.974931524072,21781.1059432623
2015-09-05,18467.211252655936,11463.898422318794,25170.372362327656
2015-09-06,17419.335109696607,10403.229911534234,24015.30618913379
2015-09-07,13419.003749435331,7034.178026102688,19941.00255526118
2015-09-08,11576.623987934583,4746.5125697442145,18445.50006488687
2015-09-09,11437.878536810364,4634.591716793706,18271.606208388348
2015-09-10,10921.864317931793,4323.056785816766,17168.370457973368
2015-09-11,11405.369121391594,4360.425791417782,18516.464878119197
2015-09-12,14708.518908146774,8023.13908298745,21202.008136238484
